1744199422.411081380	2167	2179	12	16142	16157	15
1744199425.685525250	2180	2186	6	16185	16201	16
1744199428.886049370	2192	2207	15	16235	16265	30
1744199432.169057612	2215	2229	14	16280	16284	4
1744199435.579023190	2236	2244	8	16291	16303	12
1744199439.511048409	2248	2258	10	16319	16323	4
1744199442.955045529	2261	2272	11	16348	16385	37
1744199446.662553510	2276	2282	6	16392	16404	12
1744199450.031043465	2284	2286	2	16412	16425	13
1744199453.218064386	2286	2290	4	16437	16445	8
1744199456.453035683	2291	2297	6	16455	16464	9
1744199460.049028239	2302	2306	4	16479	16491	12
1744199463.735033887	2308	2309	1	16504	16512	8
1744199467.232067233	2309	2313	4	16540	16539	-1
1744199471.444043040	2313	2314	1	16539	16548	9
1744199474.995044461	2314	2318	4	16586	16590	4
1744199479.094026427	2320	2321	1	16610	16622	12
1744199482.682022045	2321	2320	-1	16622	16629	7
1744199486.284999517	2320	2324	4	16667	16668	1
1744199489.652026270	2322	2318	-4	16681	16693	12
1744199493.403027609	2315	2307	-8	16728	16743	15
1744199496.869045176	2311	2307	-4	16758	16765	7
1744199500.810038199	2310	2307	-3	16773	16784	11
1744199504.596047203	2307	2306	-1	16790	16798	8
1744199508.619031733	2309	2315	6	16802	16800	-2
1744199512.776051206	2319	2319	0	16797	16799	2
1744199517.070037874	2319	2321	2	16800	16799	-1
1744199521.582038734	2324	2326	2	16799	16798	-1
1744199525.087757993	2326	2334	8	16803	16797	-6
1744199528.650036297	2334	2327	-7	16812	16819	7
1744199532.331044029	2326	2303	-23	16821	16844	23
1744199535.987041639	2307	2330	23	16841	16820	-21
1744199539.752044890	2327	2347	20	16831	16811	-20
1744199543.641039015	2360	2354	-6	16802	16808	6
1744199547.105061018	2350	2339	-11	16812	16824	12
1744199550.933021342	2334	2329	-5	16829	16834	5
1744199554.488096282	2331	2325	-6	16836	16842	6
1744199558.358040558	2325	2320	-5	16842	16849	7
1744199561.784051739	2322	2312	-10	16848	16862	14
1744199565.003131716	2312	2309	-3	16862	16865	3
1744199568.113035105	2304	2303	-1	16874	16876	2
1744199571.325061065	2301	2301	0	16878	16878	0
1744199574.611030578	2302	2308	6	16877	16871	-6
1744199577.749086510	2306	2315	9	16873	16864	-9
1744199580.974040305	2314	2323	9	16866	16857	-9
1744199584.208032123	2325	2330	5	16856	16870	14
1744199587.410049672	2330	2329	-1	16870	16871	1
1744199590.953644916	2332	2340	8	16869	16861	-8
1744199594.159029415	2340	2351	11	16881	16870	-11
1744199597.541047626	2351	2355	4	16870	16866	-4
1744199600.594045980	2357	2352	-5	16866	16871	5
1744199603.391052264	2357	2357	0	16866	16866	0
1744199606.696051867	2364	2358	-6	16860	16866	6
1744199609.708038285	2358	2352	-6	16866	16872	6
1744199612.885528232	2355	2354	-1	16886	16911	25
1744199616.174037784	2354	2352	-2	16911	16913	2
1744199619.272044384	2341	2339	-2	16924	16926	2
1744199622.809567111	2337	2338	1	16928	16927	-1
1744199626.363980337	2338	2342	4	16927	16923	-4
1744199630.236039743	2338	2318	-20	16937	16957	20
1744199633.944037457	2312	2312	0	16963	16964	1
1744199636.982058704	2309	2315	6	16967	16961	-6
1744199640.089190698	2317	2319	2	16959	16981	22
1744199643.799037801	2321	2322	1	16979	16978	-1
1744199647.317620945	2324	2330	6	16976	16970	-6
1744199651.272087999	2330	2336	6	16970	16988	18
1744199655.193058098	2343	2345	2	16985	16983	-2
1744199658.702032781	2345	2348	3	16983	16980	-3
