1744199550.933021342	2329	2329	0	16834	16835	1
1744199554.488096282	2329	2331	2	16835	16836	1
1744199558.358040558	2320	2322	2	16849	16848	-1
1744199561.784051739	2312	2312	0	16862	16862	0
1744199565.003131716	2309	2304	-5	16865	16874	9
1744199568.113035105	2303	2301	-2	16876	16878	2
1744199571.325061065	2301	2302	1	16878	16877	-1
1744199574.611030578	2308	2306	-2	16871	16873	2
1744199577.749086510	2315	2314	-1	16864	16866	2
1744199580.974040305	2323	2325	2	16857	16856	-1
1744199584.208032123	2330	2330	0	16870	16870	0
1744199587.410049672	2329	2332	3	16871	16869	-2
1744199590.953644916	2340	2341	1	16861	16880	19
1744199594.159029415	2341	2340	-1	16880	16881	1
1744199597.541047626	2355	2357	2	16866	16866	0
1744199600.594045980	2352	2357	5	16871	16866	-5
1744199603.391052264	2357	2363	6	16866	16861	-5
1744199606.696051867	2363	2364	1	16861	16860	-1
1744199609.708038285	2352	2350	-2	16872	16874	2
1744199612.885528232	2350	2355	5	16874	16886	12
1744199616.174037784	2352	2341	-11	16913	16924	11
1744199619.272044384	2339	2337	-2	16926	16928	2
1744199622.809567111	2338	2338	0	16927	16927	0
1744199626.363980337	2342	2338	-4	16923	16937	14
1744199630.236039743	2318	2312	-6	16957	16963	6
1744199633.944037457	2312	2309	-3	16964	16967	3
1744199636.982058704	2315	2317	2	16961	16959	-2
1744199640.089190698	2319	2321	2	16981	16979	-2
1744199643.799037801	2322	2324	2	16978	16976	-2
1744199647.317620945	2330	2330	0	16970	16970	0
1744199651.272087999	2336	2340	4	16988	16986	-2
1744199655.193058098	2340	2343	3	16986	16985	-1
1744199658.702032781	2348	2347	-1	16980	16981	1
1744199662.626045741	2344	2344	0	16984	16985	1
1744199667.132026419	2349	2346	-3	16980	16983	3
1744199671.162046788	2348	2348	0	16982	16982	0
1745064603.845338946	0	0	0	0	0	0
1745064608.041919030	0	400	400	0	2967	2967
1745064611.832899411	1056	1063	7	8352	8557	205
1745064615.883261582	1225	1229	4	8917	9034	117
1745064619.612803127	1229	1333	104	9034	9763	729
1745064623.895475056	1427	1486	59	10001	10254	253
1745064628.090670087	1512	1643	131	10871	11201	330
1745064632.600937580	1654	1699	45	11626	11977	351
1745064637.140097448	1728	1771	43	12180	12534	354
1745064642.184103817	1892	2005	113	12804	13185	381
1745064646.730783876	2062	2075	13	13400	13408	8
1745064651.843901484	2108	2127	19	13853	14021	168
1745064655.895268532	2156	2232	76	14074	14392	318
1745064660.726756863	2242	2290	48	14402	14915	513
1745064665.244833583	2329	2375	46	15058	15470	412
1745064669.679312421	2446	2481	35	15852	16182	330
1745064674.270343077	2549	2576	27	16537	16586	49
1745064679.120442722	2688	2701	13	17401	17527	126
1745064684.791520056	2755	2780	25	17788	18043	255
1745064690.462656581	2839	2875	36	17994	18130	136
1745064696.180068144	2900	2904	4	18155	18387	232
1745064701.595368871	2907	2912	5	18478	18519	41
1745064706.757316036	2923	2926	3	18598	18606	8
1745064712.592892741	2937	2943	6	18658	18660	2
1745064724.389220723	2943	2947	4	18740	18971	231
1745064738.795120689	2957	2956	-1	18973	18995	22
